No,Kode Paket,Kode Provinsi,Kode Kabupaten,Sumber Dana,Kategori,Tahun Anggaran,Evaluasi,Penilaian
1132,77177,Kalimantan Selatan,Tapin (Kab.),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1133,77251,Sumatera Selatan,Palembang (Kota),APBD,Pekerjaan Konstruksi,2012,14,Buruk
1134,77270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
1135,77315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,13,Buruk
1136,77355,Kepulauan Riau,Natuna (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
1137,77357,Sumatera Selatan,Ogan Ilir (Kab.),APBD,Pengadaan Barang,2012,15,Sangat Buruk
1138,78059,Kalimantan Selatan,Tabalong (Kab.),APBN,Jasa Lainnya,2012,11,Buruk
1139,78085,Kalimantan Selatan,Hulu Sungai Utara (Kab.),APBN,Pengadaan Barang,2012,9,Baik
1140,78102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,14,Buruk
1141,78107,Sumatera Selatan,Muara Enim (Kab.),APBN,Pekerjaan Konstruksi,2012,18,Sangat Buruk
1142,78168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Pekerjaan Konstruksi,2012,18,Sangat Buruk
1143,78172,Kalimantan Selatan,Tanah Laut (Kab.),APBN,Pekerjaan Konstruksi,2012,13,Buruk
1144,78177,Kalimantan Selatan,Tapin (Kab.),APBN,Pekerjaan Konstruksi,2012,13,Buruk
1145,78251,Sumatera Selatan,Palembang (Kota),APBD,Pekerjaan Konstruksi,2012,13,Buruk
1146,78270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
1147,78282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
1148,78311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1149,78315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
1150,78317,Kalimantan Selatan,Tanah Bumbu (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
1151,78355,Kepulauan Riau,Natuna (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
1152,78427,Kalimantan Selatan,Kota Baru (Kab.),APBD,Pekerjaan Konstruksi,2012,19,Sangat Buruk
1153,79059,Kalimantan Selatan,Tabalong (Kab.),APBN,Pengadaan Barang,2012,12,Buruk
1154,79085,Kalimantan Selatan,Hulu Sungai Utara (Kab.),APBN,Pengadaan Barang,2012,13,Buruk
1155,79102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1156,79107,Sumatera Selatan,Muara Enim (Kab.),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1157,79177,Kalimantan Selatan,Tapin (Kab.),APBN,Pekerjaan Konstruksi,2012,12,Buruk
1158,79282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
1159,79315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
1160,79355,Kepulauan Riau,Natuna (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
1161,79427,Kalimantan Selatan,Kota Baru (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1162,80059,Kalimantan Selatan,Tabalong (Kab.),APBN,Pengadaan Barang,2012,7,Baik
1163,80085,Kalimantan Selatan,Hulu Sungai Utara (Kab.),APBN,Jasa Lainnya,2012,15,Sangat Buruk
1164,80102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1165,80107,Sumatera Selatan,Muara Enim (Kab.),Pinjaman/Hibah Luar Negeri,Pengadaan Barang,2012,15,Sangat Buruk
1166,80168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Pekerjaan Konstruksi,2012,16,Sangat Buruk
1167,80172,Kalimantan Selatan,Tanah Laut (Kab.),APBN,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1168,80177,Kalimantan Selatan,Tapin (Kab.),APBN,Pekerjaan Konstruksi,2012,12,Buruk
1169,80221,Sumatera Selatan,Prabumulih (Kota),APBD,Jasa Lainnya,2012,16,Sangat Buruk
1170,80251,Sumatera Selatan,Palembang (Kota),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
1171,80270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
1172,80282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
1173,80311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1174,80315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
1175,80317,Kalimantan Selatan,Tanah Bumbu (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
1176,80355,Kepulauan Riau,Natuna (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
1177,80357,Sumatera Selatan,Ogan Ilir (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1178,80427,Kalimantan Selatan,Kota Baru (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
1179,81085,Kalimantan Selatan,Hulu Sungai Utara (Kab.),APBN,Jasa Konsultansi,2012,12,Buruk
1180,81102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,14,Buruk
1181,81107,Sumatera Selatan,Muara Enim (Kab.),APBN,Jasa Konsultansi,2012,17,Sangat Buruk
1182,81168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Pekerjaan Konstruksi,2012,18,Sangat Buruk
1183,81177,Kalimantan Selatan,Tapin (Kab.),APBN,Pekerjaan Konstruksi,2012,12,Buruk
1184,81221,Sumatera Selatan,Prabumulih (Kota),APBD,Pengadaan Barang,2012,12,Buruk
1185,81270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,13,Buruk
1186,81282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,18,Sangat Buruk
1187,81311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1188,81315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,13,Buruk
1189,81317,Kalimantan Selatan,Tanah Bumbu (Kab.),APBD,Pekerjaan Konstruksi,2012,10,Baik
1190,81355,Kepulauan Riau,Natuna (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
1191,81357,Sumatera Selatan,Ogan Ilir (Kab.),APBD,Pengadaan Barang,2012,14,Buruk
1192,81427,Kalimantan Selatan,Kota Baru (Kab.),APBD,Pengadaan Barang,2012,11,Buruk
1193,82102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,13,Buruk
1194,82107,Sumatera Selatan,Muara Enim (Kab.),APBN,Pekerjaan Konstruksi,2012,16,Sangat Buruk
1195,82177,Kalimantan Selatan,Tapin (Kab.),APBN,Pekerjaan Konstruksi,2012,13,Buruk
1196,82221,Sumatera Selatan,Prabumulih (Kota),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1197,82251,Sumatera Selatan,Palembang (Kota),APBD,Jasa Konsultansi,2012,15,Sangat Buruk
1198,82270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
1199,82311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
1200,82315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
1201,82355,Kepulauan Riau,Natuna (Kab.),APBD,Pengadaan Barang,2012,11,Buruk
1202,82357,Sumatera Selatan,Ogan Ilir (Kab.),APBD,Jasa Konsultansi,2012,16,Sangat Buruk
1203,82365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
1204,82427,Kalimantan Selatan,Kota Baru (Kab.),APBD,Pengadaan Barang,2012,13,Buruk
1205,83085,Kalimantan Selatan,Hulu Sungai Utara (Kab.),APBN,Jasa Konsultansi,2012,13,Buruk
1206,83102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,14,Buruk
1207,83107,Sumatera Selatan,Muara Enim (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1208,83168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Pekerjaan Konstruksi,2012,19,Sangat Buruk
1209,83172,Kalimantan Selatan,Tanah Laut (Kab.),APBN,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1210,83177,Kalimantan Selatan,Tapin (Kab.),APBN,Pekerjaan Konstruksi,2012,13,Buruk
1211,83251,Sumatera Selatan,Palembang (Kota),APBD,Jasa Konsultansi,2012,15,Sangat Buruk
1212,83270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pengadaan Barang,2012,16,Sangat Buruk
1213,83311,Sumatera Selatan,Musi Rawas (Kab.),APBN,Pekerjaan Konstruksi,2012,19,Sangat Buruk
1214,83315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
1215,83317,Kalimantan Selatan,Tanah Bumbu (Kab.),APBD,Jasa Konsultansi,2012,14,Buruk
1216,83365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1217,83427,Kalimantan Selatan,Kota Baru (Kab.),APBD,Pengadaan Barang,2012,9,Baik
1218,84059,Kalimantan Selatan,Tabalong (Kab.),APBN,Pengadaan Barang,2012,11,Buruk
1219,84102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,14,Buruk
1220,84107,Sumatera Selatan,Muara Enim (Kab.),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1221,84168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1222,84177,Kalimantan Selatan,Tapin (Kab.),APBN,Pengadaan Barang,2012,16,Sangat Buruk
1223,84221,Sumatera Selatan,Prabumulih (Kota),APBD,Pengadaan Barang,2012,15,Sangat Buruk
1224,84251,Sumatera Selatan,Palembang (Kota),APBD,Jasa Konsultansi,2012,15,Sangat Buruk
1225,84270,Kalimantan Selatan,Barito Kuala (Kab.),APBN,Pengadaan Barang,2012,16,Sangat Buruk
1226,84311,Sumatera Selatan,Musi Rawas (Kab.),APBN,Pekerjaan Konstruksi,2012,20,Sangat Buruk
1227,84315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,9,Baik
1228,84317,Kalimantan Selatan,Tanah Bumbu (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
1229,84355,Kepulauan Riau,Natuna (Kab.),APBD,Jasa Konsultansi,2012,14,Buruk
1230,84365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
1231,84427,Kalimantan Selatan,Kota Baru (Kab.),APBD,Pekerjaan Konstruksi,2012,13,Buruk
1232,85059,Kalimantan Selatan,Tabalong (Kab.),APBN,Pengadaan Barang,2012,14,Buruk
1233,85102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,13,Buruk
1234,85107,Sumatera Selatan,Muara Enim (Kab.),APBN,Pekerjaan Konstruksi,2012,16,Sangat Buruk
1235,85168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Pekerjaan Konstruksi,2012,16,Sangat Buruk
1236,85221,Sumatera Selatan,Prabumulih (Kota),APBD,Pengadaan Barang,2012,7,Baik
1237,85251,Sumatera Selatan,Palembang (Kota),APBD,Jasa Konsultansi,2012,15,Sangat Buruk
1238,85270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pengadaan Barang,2012,15,Sangat Buruk
1239,85311,Sumatera Selatan,Musi Rawas (Kab.),APBN,Pekerjaan Konstruksi,2012,18,Sangat Buruk
1240,85315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
1241,85317,Kalimantan Selatan,Tanah Bumbu (Kab.),APBD,Jasa Konsultansi,2012,12,Buruk
1242,85355,Kepulauan Riau,Natuna (Kab.),APBD,Jasa Konsultansi,2012,14,Buruk
1243,85427,Kalimantan Selatan,Kota Baru (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
1244,86059,Kalimantan Selatan,Tabalong (Kab.),APBN,Pengadaan Barang,2012,13,Buruk
1245,86102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,14,Buruk
1246,86107,Sumatera Selatan,Muara Enim (Kab.),APBN,Pengadaan Barang,2012,16,Sangat Buruk
1247,86168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1248,86172,Kalimantan Selatan,Tanah Laut (Kab.),APBN,Pekerjaan Konstruksi,2012,16,Sangat Buruk
1249,86177,Kalimantan Selatan,Tapin (Kab.),APBN,Pekerjaan Konstruksi,2012,13,Buruk
1250,86221,Sumatera Selatan,Prabumulih (Kota),APBD,Pengadaan Barang,2012,9,Baik
1251,86251,Sumatera Selatan,Palembang (Kota),APBD,Jasa Konsultansi,2012,15,Sangat Buruk
1252,86270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1253,86294,Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Kab.),APBD,Jasa Konsultansi,2012,12,Buruk
1254,86311,Sumatera Selatan,Musi Rawas (Kab.),APBN,Pekerjaan Konstruksi,2012,16,Sangat Buruk
1255,86315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
1256,86365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Pengadaan Barang,2012,13,Buruk
1257,87059,Kalimantan Selatan,Tabalong (Kab.),APBN,Pengadaan Barang,2012,15,Sangat Buruk
1258,87102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1259,87107,Sumatera Selatan,Muara Enim (Kab.),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1260,87168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Pekerjaan Konstruksi,2012,19,Sangat Buruk
1261,87177,Kalimantan Selatan,Tapin (Kab.),APBN,Pengadaan Barang,2012,15,Sangat Buruk
1262,87251,Sumatera Selatan,Palembang (Kota),APBD,Jasa Konsultansi,2012,15,Sangat Buruk
1263,87270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1264,87294,Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Kab.),APBD,Jasa Konsultansi,2012,14,Buruk
1265,87311,Sumatera Selatan,Musi Rawas (Kab.),APBN,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1266,87315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1267,87357,Sumatera Selatan,Ogan Ilir (Kab.),APBD,Pengadaan Barang,2012,17,Sangat Buruk
1268,88085,Kalimantan Selatan,Hulu Sungai Utara (Kab.),Pinjaman/Hibah Luar Negeri,Pengadaan Barang,2012,14,Buruk
1269,88102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1270,88107,Sumatera Selatan,Muara Enim (Kab.),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1271,88168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Pekerjaan Konstruksi,2012,19,Sangat Buruk
1272,88221,Sumatera Selatan,Prabumulih (Kota),APBD,Pengadaan Barang,2012,12,Buruk
1273,88251,Sumatera Selatan,Palembang (Kota),APBD,Jasa Konsultansi,2012,15,Sangat Buruk
1274,88270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1275,88282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
1276,88294,Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Kab.),APBD,Jasa Konsultansi,2012,14,Buruk
1277,88311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1278,88317,Kalimantan Selatan,Tanah Bumbu (Kab.),APBD,Jasa Konsultansi,2012,15,Sangat Buruk
1279,88365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
1280,89059,Kalimantan Selatan,Tabalong (Kab.),APBN,Pekerjaan Konstruksi,2012,16,Sangat Buruk
1281,89085,Kalimantan Selatan,Hulu Sungai Utara (Kab.),APBN,Jasa Konsultansi,2012,9,Baik
1282,89102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,14,Buruk
1283,89107,Sumatera Selatan,Muara Enim (Kab.),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1284,89168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Pekerjaan Konstruksi,2012,18,Sangat Buruk
1285,89177,Kalimantan Selatan,Tapin (Kab.),APBD,Pengadaan Barang,2012,7,Baik
1286,89251,Sumatera Selatan,Palembang (Kota),APBD,Jasa Konsultansi,2012,15,Sangat Buruk
1287,89270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
1288,89311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1289,89315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1290,89355,Kepulauan Riau,Natuna (Kab.),APBD,Jasa Konsultansi,2012,16,Sangat Buruk
1291,89357,Sumatera Selatan,Ogan Ilir (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1292,89365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Pekerjaan Konstruksi,2012,13,Buruk
1293,89427,Kalimantan Selatan,Kota Baru (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
1294,90059,Kalimantan Selatan,Tabalong (Kab.),APBN,Pengadaan Barang,2012,12,Buruk
1295,90102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,14,Buruk
1296,90107,Sumatera Selatan,Muara Enim (Kab.),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1297,90168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Pekerjaan Konstruksi,2012,18,Sangat Buruk
1298,90172,Kalimantan Selatan,Tanah Laut (Kab.),APBN,Pekerjaan Konstruksi,2012,13,Buruk
1299,90251,Sumatera Selatan,Palembang (Kota),APBD,Jasa Konsultansi,2012,13,Buruk
1300,90270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1301,90311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
1302,90315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
1303,90317,Kalimantan Selatan,Tanah Bumbu (Kab.),APBD,Jasa Konsultansi,2012,14,Buruk
1304,90355,Kepulauan Riau,Natuna (Kab.),APBD,Jasa Lainnya,2012,12,Buruk
1305,91059,Kalimantan Selatan,Tabalong (Kab.),APBN,Pengadaan Barang,2012,16,Sangat Buruk
1306,91085,Kalimantan Selatan,Hulu Sungai Utara (Kab.),APBN,Pengadaan Barang,2012,15,Sangat Buruk
1307,91102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1308,91107,Sumatera Selatan,Muara Enim (Kab.),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1309,91168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Pekerjaan Konstruksi,2012,16,Sangat Buruk
1310,91172,Kalimantan Selatan,Tanah Laut (Kab.),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1311,91177,Kalimantan Selatan,Tapin (Kab.),APBN,Pekerjaan Konstruksi,2012,12,Buruk
1312,91221,Sumatera Selatan,Prabumulih (Kota),APBD,Pengadaan Barang,2012,15,Sangat Buruk
1313,91251,Sumatera Selatan,Palembang (Kota),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1314,91270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pengadaan Barang,2012,14,Buruk
1315,91282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
1316,91294,Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Kab.),APBD,Jasa Konsultansi,2012,10,Baik
1317,91311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Pekerjaan Konstruksi,2012,19,Sangat Buruk
1318,91317,Kalimantan Selatan,Tanah Bumbu (Kab.),APBD,Jasa Konsultansi,2012,11,Buruk
1319,91355,Kepulauan Riau,Natuna (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
1320,91365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Pekerjaan Konstruksi,2012,13,Buruk
1321,91427,Kalimantan Selatan,Kota Baru (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
1322,92059,Kalimantan Selatan,Tabalong (Kab.),APBN,Pengadaan Barang,2012,14,Buruk
1323,92085,Kalimantan Selatan,Hulu Sungai Utara (Kab.),APBN,Pekerjaan Konstruksi,2012,11,Buruk
1324,92102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,14,Buruk
1325,92107,Sumatera Selatan,Muara Enim (Kab.),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1326,92168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Pekerjaan Konstruksi,2012,18,Sangat Buruk
1327,92172,Kalimantan Selatan,Tanah Laut (Kab.),APBN,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1328,92270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pengadaan Barang,2012,10,Baik
1329,92282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,13,Buruk
1330,92294,Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Kab.),APBD,Jasa Konsultansi,2012,12,Buruk
1331,92315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1332,92355,Kepulauan Riau,Natuna (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
1333,92365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
1334,93059,Kalimantan Selatan,Tabalong (Kab.),APBN,Pengadaan Barang,2012,12,Buruk
1335,93102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,13,Buruk
1336,93107,Sumatera Selatan,Muara Enim (Kab.),APBN,Pengadaan Barang,2012,12,Buruk
1337,93168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Pekerjaan Konstruksi,2012,18,Sangat Buruk
1338,93172,Kalimantan Selatan,Tanah Laut (Kab.),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1339,93177,Kalimantan Selatan,Tapin (Kab.),APBN,Pekerjaan Konstruksi,2012,13,Buruk
1340,93221,Sumatera Selatan,Prabumulih (Kota),APBD,Pengadaan Barang,2012,15,Sangat Buruk
1341,93251,Sumatera Selatan,Palembang (Kota),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
1342,93270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
1343,93282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1344,93294,Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Kab.),APBD,Jasa Konsultansi,2012,13,Buruk
1345,93311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Jasa Konsultansi,2012,15,Sangat Buruk
1346,93315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
1347,93317,Kalimantan Selatan,Tanah Bumbu (Kab.),APBD,Jasa Konsultansi,2012,14,Buruk
1348,93357,Sumatera Selatan,Ogan Ilir (Kab.),APBD,Pengadaan Barang,2012,15,Sangat Buruk
1349,93365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
1350,93427,Kalimantan Selatan,Kota Baru (Kab.),APBD,Pengadaan Barang,2012,12,Buruk
1351,94059,Kalimantan Selatan,Tabalong (Kab.),APBN,Pengadaan Barang,2012,8,Baik
1352,94102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,14,Buruk
1353,94107,Sumatera Selatan,Muara Enim (Kab.),APBN,Pengadaan Barang,2012,15,Sangat Buruk
1354,94168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Pekerjaan Konstruksi,2012,19,Sangat Buruk
1355,94177,Kalimantan Selatan,Tapin (Kab.),APBN,Pengadaan Barang,2012,13,Buruk
1356,94221,Sumatera Selatan,Prabumulih (Kota),APBD,Pengadaan Barang,2012,15,Sangat Buruk
1357,94251,Sumatera Selatan,Palembang (Kota),Pinjaman/Hibah Luar Negeri,Pekerjaan Konstruksi,2012,19,Sangat Buruk
1358,94270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
1359,94282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
1360,94315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
1361,94317,Kalimantan Selatan,Tanah Bumbu (Kab.),APBD,Jasa Konsultansi,2012,13,Buruk
1362,94365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
1363,94427,Kalimantan Selatan,Kota Baru (Kab.),APBN,Pengadaan Barang,2012,17,Sangat Buruk
1364,95059,Kalimantan Selatan,Tabalong (Kab.),APBN,Pekerjaan Konstruksi,2012,16,Sangat Buruk
1365,95085,Kalimantan Selatan,Hulu Sungai Utara (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
1366,95102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,14,Buruk
1367,95107,Sumatera Selatan,Muara Enim (Kab.),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
1368,95168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Pekerjaan Konstruksi,2012,18,Sangat Buruk
